city,propertyType,bedrooms,bathrooms,area,age,parking,furnished,price
Surat,Apartment,3,2,2328,4,0,Fully Furnished,11799458
Surat,Commercial,1,1,1267,6,1,Fully Furnished,10556344
Delhi,House,5,4,2305,14,2,Unfurnished,29127414
Bangalore,Villa,3,2,2263,24,2,Unfurnished,34844851
Bangalore,Apartment,3,3,2666,25,0,Fully Furnished,26833741
Delhi,Apartment,4,1,2901,20,2,Fully Furnished,30711629
Surat,Apartment,2,3,1153,7,0,Semi Furnished,5859076
Hyderabad,Villa,2,3,3410,6,2,Fully Furnished,46364070
Jaipur,House,5,2,1838,14,3,Semi Furnished,12820884
Rajkot,Villa,1,2,762,25,2,Semi Furnished,4772946
Surat,House,5,3,2241,20,3,Semi Furnished,13375781
Vadodara,Villa,2,2,4915,8,3,Fully Furnished,32638401
Pune,House,2,4,1244,24,0,Unfurnished,12849065
Vadodara,Commercial,5,1,3652,12,3,Fully Furnished,28000666
Delhi,Apartment,1,3,3286,3,2,Semi Furnished,33900840
Hyderabad,Apartment,3,2,4658,3,2,Fully Furnished,40502923
Jaipur,House,2,3,1823,17,0,Fully Furnished,11815382
Hyderabad,Apartment,1,3,3019,7,0,Unfurnished,25425716
Surat,Apartment,4,1,4863,24,1,Unfurnished,21272969
Delhi,House,3,4,2235,17,1,Fully Furnished,28621858
Bangalore,Villa,4,4,1491,7,1,Unfurnished,24092708
Ahmedabad,House,5,2,558,2,0,Unfurnished,4183874
Ahmedabad,Villa,1,2,2781,21,3,Unfurnished,20663627
Vadodara,Commercial,2,4,3834,6,0,Unfurnished,27816669
Pune,Commercial,4,4,943,21,0,Unfurnished,15425079
Pune,Apartment,2,2,2058,17,3,Unfurnished,18360374
Vadodara,Villa,4,2,1117,14,0,Unfurnished,8086927
Ahmedabad,Apartment,2,2,3829,15,3,Unfurnished,18126021
Ahmedabad,House,4,1,3698,8,3,Semi Furnished,21862755
Delhi,Commercial,2,2,2930,6,0,Fully Furnished,54458532
Ahmedabad,Villa,1,1,4405,16,1,Unfurnished,32048496
Surat,House,1,1,2426,12,0,Fully Furnished,13135215
Jaipur,Apartment,5,1,3934,21,2,Semi Furnished,20322381
Pune,House,3,4,1572,21,2,Semi Furnished,17390935
Surat,Apartment,4,1,1100,17,1,Fully Furnished,6323082
Vadodara,Villa,1,2,3527,9,1,Semi Furnished,23053085
Mumbai,Apartment,5,3,1348,4,2,Unfurnished,17738235
Delhi,House,3,3,2225,22,2,Unfurnished,27476807
Delhi,Commercial,3,1,1256,20,3,Semi Furnished,23554228
Ahmedabad,Villa,2,3,1823,23,3,Fully Furnished,14849062
Delhi,Apartment,1,1,1721,17,0,Semi Furnished,17814364
Vadodara,Commercial,2,1,3025,11,0,Semi Furnished,21880781
Rajkot,Apartment,3,4,1766,7,1,Unfurnished,7438322
Ahmedabad,House,3,4,2532,8,1,Fully Furnished,15486146
Bangalore,Apartment,4,2,2134,14,2,Semi Furnished,21761651
Rajkot,Apartment,2,4,3189,8,0,Semi Furnished,12329703
Delhi,Commercial,5,3,726,3,2,Unfurnished,14821361
Ahmedabad,Apartment,5,4,3331,23,2,Semi Furnished,17000765
Surat,Commercial,5,2,2586,1,3,Unfurnished,21670335
Delhi,House,3,4,1073,21,2,Fully Furnished,14730164
Surat,Villa,5,3,3845,10,3,Fully Furnished,28498416
Delhi,House,2,4,3605,21,1,Fully Furnished,44981750
Mumbai,Commercial,5,1,2989,9,1,Semi Furnished,66275302
Hyderabad,Commercial,4,2,4687,15,1,Fully Furnished,70844034
Mumbai,Villa,1,2,3042,7,1,Unfurnished,58557011
Ahmedabad,House,4,1,4230,13,1,Fully Furnished,24769630
Hyderabad,Commercial,2,2,545,24,0,Semi Furnished,8473671
Vadodara,Commercial,1,2,1494,14,1,Semi Furnished,11394812
Delhi,Villa,4,4,4988,14,1,Fully Furnished,82105732
Hyderabad,Villa,2,3,4770,15,1,Semi Furnished,63718639
Surat,Villa,2,3,3251,10,0,Unfurnished,22254877
Rajkot,Commercial,2,2,1026,13,3,Semi Furnished,7957769
Hyderabad,Commercial,1,2,3941,12,0,Fully Furnished,59318018
Hyderabad,Apartment,3,3,3694,13,1,Semi Furnished,31495880
Mumbai,Commercial,4,1,3685,10,3,Fully Furnished,81669061
Hyderabad,House,5,1,3727,18,0,Unfurnished,37723113
Vadodara,Commercial,2,1,2631,12,2,Unfurnished,19246406
Pune,Villa,4,3,3953,8,0,Semi Furnished,54981124
Delhi,Apartment,3,2,1062,24,0,Unfurnished,10929295
Rajkot,Apartment,5,2,2454,4,3,Fully Furnished,11108946
Jaipur,House,4,3,3521,5,0,Unfurnished,21482107
Surat,Apartment,3,4,3749,22,1,Unfurnished,16450446
Surat,Villa,5,1,836,11,3,Fully Furnished,8131491
Surat,Villa,1,4,4515,3,3,Semi Furnished,31947871
Vadodara,Commercial,2,3,4908,24,3,Semi Furnished,35660892
Jaipur,Villa,3,2,1209,8,3,Unfurnished,10672402
Jaipur,Commercial,3,1,4549,10,1,Semi Furnished,40375783
Pune,Villa,3,3,2763,17,0,Fully Furnished,39002137
Surat,House,4,4,2468,22,3,Fully Furnished,14853383
Hyderabad,Apartment,1,3,2315,12,1,Semi Furnished,19869945
Hyderabad,Villa,4,3,3382,22,3,Semi Furnished,45993357
Mumbai,House,1,2,3084,3,1,Unfurnished,44861495
